NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
358,1451,032.Nov/2022,RP.01/4685/2022,2022-11-11,"Surat Edaran Walikota Surakarta tentang Prioritas Pembangunan Kota Surakarta Tahun 2023 dan Penyelenggaraam Musrenbang RKPD Tahun 2023",Bappeda,"Surat Edaran Walikota Surakarta tentang Prioritas Pembangunan Kota Surakarta Tahun 2023 dan Penyelenggaraam Musrenbang RKPD Tahun 2023",2022/11/11,,,,,
359,1450,031.Nov/2022,03/176/SU/XI/2022,2022-11-10,"Permohonan kunjungan dan penggunaan tempat untuk kegiatan ""Ngobrol dan talkshow santri ngaji teknologi"" di STP.","Duta Santri Nasional","Permohonan kunjungan dan penggunaan tempat untuk kegiatan ""Ngobrol dan talkshow santri ngaji teknologi"" di STP.",2022/11/11,"Bagian Kerjasama (m susilo, m danang)",PERMOHONAN,2022/11/26,"08.00 - 12.00 WIB",STP
360,1449,030.Nov/2022,TM.00.07/4588/2022,2022-11-07,"Undangan desk monitoring dan evaluasi kerjasama daerah tahun 2022.","Sekretariat Daerah","Undangan desk monitoring dan evaluasi kerjasama daerah tahun 2022.",2022/11/11,"Sudah dihadiri",UNDANGAN,2022/11/15,"09.00 WIB - selesai","Solia hotel"
361,1448,029.Nov/2022,001/99.2/A/SobatDIA/XI/2022,2022-11-10,"Undangan, Syukuran peresmian yayasan SobatDIA Sobat Diabetes.",SobatDIA,"Undangan, Syukuran peresmian yayasan SobatDIA Sobat Diabetes.",2022/11/11,"Bagian Inkubator hadiri ( m danu )",UNDANGAN,2022/11/11,"13.00-14.00 WIB","Aula pendopo lodji gandrung"
362,1447,028.Nov/2022,560/7.592,2022-11-10,"Undangan penguatan jejaring program penempatan tenaga kerja wilayah Jawa Tengah tahun 2022","Dinas Tenaga Kerja dan Transmigrasi","Undangan penguatan jejaring program penempatan tenaga kerja wilayah Jawa Tengah tahun 2022",2022/11/10,"Bagian diklat zoom (m chris, m budi)",,2022/11/11,"09.00 - selesai","ruang kerja masing masing dengan aplikasi e-Makaryo (meeting id: 82098073049, Password 463319)"
363,1446,027.Nov/2022,II/Dekran.Ska/XI/2022,2022-11-10,"Undangan. Rapat koordinasi, fasilitasi pengembangan usaha dan pemberdayaan UMKM dengan tema ""packaging dan pemasaran produk""","Dewan Kerajinan Nasional","Undangan. Rapat koordinasi, fasilitasi pengembangan usaha dan pemberdayaan UMKM dengan tema ""packaging dan pemasaran produk""",2022/11/10,"Sudah dihadiri",UNDANGAN,2022/11/14,"09.00 - selsai","The sunan hotel"
364,1445,026.Nov/2022,KI.03.00/1303/2022,2022-11-04,"SKM Triwulan IV. Undangan rapat koordinasi pelaksanaan SKM unit pelayanan publik di lingkungan pemerintah kota surakarta tahun 2022 Triwulan IV.","Sekretariat Daerah","SKM Triwulan IV. Undangan rapat koordinasi pelaksanaan SKM unit pelayanan publik di lingkungan pemerintah kota surakarta tahun 2022 Triwulan IV.",2022/11/10,,UNDANGAN,2022/11/10,"09.00 - selesai","ruang kerja masing masing (meeting id: 508 042 5974, Passcode skabagor22)"
365,1444,025.Nov/2022,946/UN27.26/TU.01/2022,2022-11-09,"Permohonan kunjungan lapang, pendirian inkubator bisnis ekonomi kreatif adalah training of trainer (TOT)","UNS PKKWU","Permohonan kunjungan lapang, pendirian inkubator bisnis ekonomi kreatif adalah training of trainer (TOT)",2022/11/09,"Bagian Kerjasama siapkan tempat & fasilitasi (Yudit,danu,susilo)",KUNJUNGAN,2022/12/05,"09. 00 WIB-selesai",
366,1443,024.Nov/2022,539/005/XI/2022,2022-11-07,"Undangan pembhasan laporan akhir monitoring dan evaluasi smart city kota surakarta tahun 2022.",Balitbangda,"Undangan pembhasan laporan akhir monitoring dan evaluasi smart city kota surakarta tahun 2022.",2022/11/08,"Hadiri (m christian)",UNDANGAN,2022/11/09,"09.30 - selesai","ruang rapat balitbangda"
367,1442,023.Nov/2022,033/K/SMK/NU/VIII/2022,0000-00-00,"Permohonan Kunjungan Industri (Company Visit) dan Karyawisata. 115 orang siswa dan 20 orang guru","SMK NU Suruh","Permohonan Kunjungan Industri (Company Visit) dan Karyawisata. 115 orang siswa dan 20 orang guru",2022/11/08,"Bagian pelayanan (m chris, m budi)",PERMOHONAN,2022/12/12,,STP
368,1441,022.Nov/2022,0646/BAAK.01/AK.7/MI/X/2022,0000-00-00,"Permohohan Magang/PKL. Menejemen Informatika",Politama,"Permohohan Magang/PKL. Menejemen Informatika",2022/11/08,"Hanya diterima (m susilo)",PERMOHONAN,"Februari-Juli 2023",,
369,1440,021.Nov/2022,21/XXI/435/MA,2022-11-07,"Peminjaman tempat dan permohonan ijin kunjungan. diadakannya kuliah tamu mata kuliah pengantar bisnis ""talk with entrepreneur"" (72 Orang)","UNS Sekolah Vokasi","Peminjaman tempat dan permohonan ijin kunjungan. diadakannya kuliah tamu mata kuliah pengantar bisnis ""talk with entrepreneur"" (72 Orang)",2022/11/08,"Bagian kerjasama & pelayanan (m susilo , p christian)",PERMOHONAN,2022/11/10,"09.30 - 12.30 WIB",STP
370,1439,020.Nov/2022,422/1418/MK.2/X/2022,0000-00-00,"Permohonan Kunjungan Industri. (310 Orang)","SMK LPPM RI 2 Kedungreja","Permohonan Kunjungan Industri. (310 Orang)",2022/11/08,"Bagian pelayanan (m chris, m budi)",KUNJUNGAN,2022/12/21,,STP
371,1438,019.Nov/2022,SRT-O349/SKKMI6000/2022/S0,2022-11-07,"Alat peraga hulu migas, menggunakan sementara beberapa alat peraga hulu migas sebagai sarana peraga informasi.","SKK Migas","Alat peraga hulu migas, menggunakan sementara beberapa alat peraga hulu migas sebagai sarana peraga informasi.",2022/11/07,"Bagian pelayanan (m chris)",,2022/11/08,,"Grand city surabaya"
372,1437,018.Nov/2022,3309/BP.03.04/XI/2022,2022-11-01,"Undangan, FGD/FEDEP/Temu forum pengembangan ekonomi lokal (PEL) solo raya dengan tema ""pengembangan kerjasama pariwisata dan ekonomi kreatif solo raya""",Bappeda,"Undangan, FGD/FEDEP/Temu forum pengembangan ekonomi lokal (PEL) solo raya dengan tema ""pengembangan kerjasama pariwisata dan ekonomi kreatif solo raya""",2022/11/07,"Hadiri (m danu)",UNDANGAN,2022/11/10,"09.00 -- selesai","haris hotel"
373,1436,017.Nov/2022,422/168/SMP-AI/LL/2022,2022-11-05,"Permohonan kunjungan Technopark "" Experience Class""","SMP Al - Irsyad SKA","Permohonan kunjungan Technopark "" Experience Class""",2022/11/07,,KUNJUNGAN,2022/11/10,"09.00 - selesai",
374,1435,016.Nov/2022,B/2303/KI/XI/2022,2022-11-04,"Undangan desk pengelolaan SP4N LAPOR bagi pejabat penghubung di perangkat daerah.",Diskominfo,"Undangan desk pengelolaan SP4N LAPOR bagi pejabat penghubung di perangkat daerah.",2022/11/07,"Sekretaris (m ani)",UNDANGAN,2022/11/09,"12.00 - 15.00 WIB","ruang rapatupakari II Diskominfo"
375,1434,015.Nov/2022,421/4686,2022-09-19,"Permohonan ijin kunjungan. (124 Orang )","SMKN 2 DEPOK SLEMAN","Permohonan ijin kunjungan. (124 Orang )",2022/11/04,"Bagian diklat / pelayanan fasilitasi (m christian,m budi)",KUNJUNGAN,2022/11/08,"13.00 - selesai",STP
376,1433,014.Nov/2022,-II-237/PSLO/M/IX/2022,2022-11-04,"Informasi pemeriksaan kesehatan gratis. pemeriksaan papsmear.",Prodia,"Informasi pemeriksaan kesehatan gratis. pemeriksaan papsmear.",2022/11/04,"Bagian HRD pertimbangkan (bu lusi)",,,,
377,1432,013.Nov/2022,B/839/ILMATE.5/IND/XI/2022,2022-11-02,"Undangan Focus Group Discussion ( FGD ) perkembangan pembuatan virtual Technopark.","Kementrian Perindustrian","Undangan Focus Group Discussion ( FGD ) perkembangan pembuatan virtual Technopark.",2022/11/04,"Hadiri (p christian)",UNDANGAN,2022/11/10,"09.00 - selesai","hotel grand edge"
378,1431,012.Nov/2022,B-PP.00.01/4145/2022,2022-11-03,"Konsultasi kebijakan penyelenggaraan kearsiapan nasional penyusunan kebijakan keamanan arsip digital.","Arsip Nasional Republik Indonesia","Konsultasi kebijakan penyelenggaraan kearsiapan nasional penyusunan kebijakan keamanan arsip digital.",2022/11/04,"Bagian kerjasam (m susilo,m reza, m yuli)",KUNJUNGAN,"Selasa - Jumat, 8-11 November 2022",,
379,1430,011.Nov/2022,,2022-11-03,"Permohonan sponsor "" seminar nasional al - qur'an ""","IQ UNS","Permohonan sponsor "" seminar nasional al - qur'an """,2022/11/04,"sudah terlewat",PERMOHONAN,2022/11/19,"08.00 - selesai",
380,1429,010.Nov/2022,297/UN27.24/TU/2022,2022-11-03,"Permohonan peminjaman ruang seminar dilantai 1 gedung inkubasi bisnis STP. kegiatan ""pelepasan pengiriman produk UMKM surakarta siap ekspor ke prancis""",UNS,"Permohonan peminjaman ruang seminar dilantai 1 gedung inkubasi bisnis STP. kegiatan ""pelepasan pengiriman produk UMKM surakarta siap ekspor ke prancis""",2022/11/03,"Bagian kerjasama dan keuangan fasilitasi ( m susilo, m danang )",PERMOHONAN,"Selasa-Rabu, 8-9 November 2022","16.00 WIB-14.00 WIB","ruang Seminar lantai 1 gd inkubasi bisnis STP"
381,1428,009.Nov/2022,665/OD.03.01,2022-11-02,"Undangan rapat paripurna DPRD. Rapat parirpurna ke-IV.","DPRD KOTA SURAKARTA","Undangan rapat paripurna DPRD. Rapat parirpurna ke-IV.",2022/11/03,"Sudah dihadiri",UNDANGAN,2022/11/03,"13.00 WIB","Gedung Graha Paripurna SKA"
382,1427,008.Nov/2022,,2022-11-03,"Penawaran cartdrigde toner compatible.","Indographia Printer","Penawaran cartdrigde toner compatible.",2022/11/03,,,,,
383,1426,007.Nov/2022,B-150/KUKM/Dep.4.2.1/XI/2022,2022-11-02,"Monitoring dan evaluasi fasilitasi inkubasi wirausaha tahun 2021. melaksanakan kunjungan ke lembaga inkubator bulan november dan desember.",KEMENKOPUKM,"Monitoring dan evaluasi fasilitasi inkubasi wirausaha tahun 2021. melaksanakan kunjungan ke lembaga inkubator bulan november dan desember.",2022/11/03,"Bagian inkubator fasilitasi (m danu)",KUNJUNGAN,"Novmeber dan Desember",,
384,1425,006.Nov/2022,096/OSSKA/SVC/11/2022,2022-11-02,"Permohonan peminjaman tempat, sosialisasi dengan BKKBN ""Promosi dan KIE program percepatan penurunan stunting""","Omah Sambung","Permohonan peminjaman tempat, sosialisasi dengan BKKBN ""Promosi dan KIE program percepatan penurunan stunting""",2022/11/02,"Sudah dilaksanakan",PERMOHONAN,2022/11/04,"07.30 - selesai","Seminar besar STC"
385,1424,005.Nov/2022,,2022-11-02,"Undangan mawayang hayu, wayang moderasi dan keberagaman","ISI Surakarta","Undangan mawayang hayu, wayang moderasi dan keberagaman",2022/11/02,"Disposisi via wa pak yudit (pak untung)",UNDANGAN,2022/11/04,"19.00 - selesai WIB","Pendapa Ageng GPH Joyokusumo ISI Surakarta"
386,1423,004.Nov/2022,KA.03.07/1902/X/2022,0000-00-00,"Mohon peserta sosialisasi kegiatan autentikasi arsip statis dan arsip hasil alih media.","Dinas perpustakaan dan kearsipan","Mohon peserta sosialisasi kegiatan autentikasi arsip statis dan arsip hasil alih media.",2022/11/02,"Hadiri ( m ani )",PERMOHONAN,2022/11/09,"07.30 - selesai","Balai Tawangarum Kompel Balaikota Surakarta"
387,1422,003.Nov/2022,421.6/013/MITTQUM/XI/2022,2022-11-01,"Izin berkunjung kegiatan outing class. (47 anak siswa kelas 4 dan 6 guru )",MITTQUM,"Izin berkunjung kegiatan outing class. (47 anak siswa kelas 4 dan 6 guru )",2022/11/02,"Umum (m ani, m lusi)",KUNJUNGAN,2022/11/10,"08.00 - selesai",
388,1421,002.Nov/2022,PW.00/4420/2022,0000-00-00,"Undangan rapat dinas gelar pengawasan daerah kota surakarta tahun 2022.","Sekretariat Daerah","Undangan rapat dinas gelar pengawasan daerah kota surakarta tahun 2022.",2022/11/01,,UNDANGAN,2022/11/08,"09.00 - selesai","Hotel Sunan SOLO"
389,1420,001.Nov/2022,522/PN.02.00/X/2022,0000-00-00,"Permohonan narasumber, workshop strategi dan kebijakan penguatan SIDa guna meningkatkan daya saing kota Surakarta.",Balitbangda,"Permohonan narasumber, workshop strategi dan kebijakan penguatan SIDa guna meningkatkan daya saing kota Surakarta.",2022/11/01,"Sudah dihadiri",PERMOHONAN,2022/11/03,08.30-selesai,"Ballroom 2 hotel sunan SKA"
390,1419,085.Oct/2022,650/OD.03.01,0000-00-00,"Undangan Rapat Pansus. Rapat kerja pansus Rperda tentang fasilitasi penyelenggaraan pesantresn","DPRD KOTA SURAKARTA","Undangan Rapat Pansus. Rapat kerja pansus Rperda tentang fasilitasi penyelenggaraan pesantresn",31-Oct-22,"Bagian legal ( m reza )",UNDANGAN,2022/11/01,"13.00 WIB","Gedung graha paripurna DPRD"
391,1418,084.Oct/2022,KP.11.00/1143/X/2022,0000-00-00,"Permohonan personil. melaksanakan bimbingan teknis pengelolaan keuangan badan layanan umum daerah.","Badan Pengelolaan Keuangan dan Aset Daerah","Permohonan personil. melaksanakan bimbingan teknis pengelolaan keuangan badan layanan umum daerah.",31-Oct-22,"Bagian keuangan hadiri ( bu susi, m agus)",PERMOHONAN,"11-13 November 2022",,Surabaya
392,1417,083.Oct/2022,KP.11.00/9223/X/2022,0000-00-00,"Pengiriman Personil menindak lanjuti surat dari UPT STP BAPPEDA perihal permohonan personil.","DPUPR SKA","Pengiriman Personil menindak lanjuti surat dari UPT STP BAPPEDA perihal permohonan personil.",31-Oct-22,"Bagian keuangan dan bagian kawasan ( bu susi., mas susilo)",,,,
393,1416,082.Oct/2022,163/B.2/A.4/2022,0000-00-00,"Undangan. (1) Identifikasi dan pemetaan hasil riset, penelitian, inovasi dan invensi teknologi yang telah siap untuk dimanfaatkan pada skala industri. (2) Permasalahan dan peluang pengembangan riset, penelitian, inovasi, dan invensi teknologi.","Kementrian Investasi/BKPM","Undangan. (1) Identifikasi dan pemetaan hasil riset, penelitian, inovasi dan invensi teknologi yang telah siap untuk dimanfaatkan pada skala industri. (2) Permasalahan dan peluang pengembangan riset, penelitian, inovasi, dan invensi teknologi.",31-Oct-22,"Bagian Inkubator hadiri ( m danu )",UNDANGAN,2022/11/01,"09.00 - selesai","Zoom meeting"
394,1415,081.Oct/2022,,0000-00-00,"Permohonan ijin kunjungan dan peminjaman tempat, grup dynamic & amazing race ( membangun kolaborasi tim dalam bekerja). (100 orang)","Learning Box","Permohonan ijin kunjungan dan peminjaman tempat, grup dynamic & amazing race ( membangun kolaborasi tim dalam bekerja). (100 orang)",31-Oct-22,"Bagian kerjasama fasilitasi (m susilo, m danang)",KUNJUNGAN,"Rabu/Kamis, 7/8 Desember 2022","half day",stp
395,1414,080.Oct/2022,DK.02.03/815.3/X/2022,0000-00-00,"Undangan klarifikasi lapangan lomba kelurahan tingkat regional.",,"Undangan klarifikasi lapangan lomba kelurahan tingkat regional.",31-Oct-22,,UNDANGAN,2022/11/01,"08.00 - selesai","pendapi alit kelurahan jebres"
396,1413,079.Oct/2022,752/UN27.05/PT.01.01/2022,0000-00-00,"Permohonan melakukan perekaman vidio . pemenuhan tugas mata kuliah public reaction.",UNS,"Permohonan melakukan perekaman vidio . pemenuhan tugas mata kuliah public reaction.",31-Oct-22,"Sudah dihadiri",PERMOHONAN,2022/10/29,,
397,1412,078.Oct/2022,email,0000-00-00,"Kunjungan untuk berdiskusi terkait program pelatihan dan sertifikasi minyak dan gas, guna pengembangan kompetensi para pekerja PT BSP yang saat ini dipercaya pemerintah Provinsi Riau.","PT Bumi Siak Pusako","Kunjungan untuk berdiskusi terkait program pelatihan dan sertifikasi minyak dan gas, guna pengembangan kompetensi para pekerja PT BSP yang saat ini dipercaya pemerintah Provinsi Riau.",31-Oct-22,"Bagian diklat & pelayanan koordinasikan ( m christian )",KUNJUNGAN,2022/11/04,,
398,1411,077.Oct/2022,532/C.12/FTI/2022,0000-00-00,"Kunjungan study tour. kegiatan mahasiswa yakni FTI+ tahun 2022. (198 Orang)","Unisversitas Kristen Duta Wacana Yogyakarta","Kunjungan study tour. kegiatan mahasiswa yakni FTI+ tahun 2022. (198 Orang)",31-Oct-22,"Bagian pelayanan fasilitasi ( m christian )",KUNJUNGAN,2022/11/11,"10.00 WIB",
399,1410,076.Oct/2022,590/UN27.04.9.3/ICD/B/X/2022,0000-00-00,"Permohonan Magang. ( 1 orang ).",UNS,"Permohonan Magang. ( 1 orang ).",28-Oct-22,"Bagian inkubator fasilitasi (m danu)",PERMOHONAN,"1 November - 2 Desember 2022",,
400,1409,075.Oct/2022,,0000-00-00,"Permohonan pinjam pakai area di STP guna kelanacaran test drive. (21 Orang)","Shopee Express","Permohonan pinjam pakai area di STP guna kelanacaran test drive. (21 Orang)",28-Oct-22,"Sudah dihadiri",PERMOHONAN,"Sabtu & Minggu, 5-6 November 2022","09.00 - 16.00 WIB",
401,1408,074.Oct/2022,MD/952/2022,0000-00-00,"Permohonan Dukungan Acara Klarifikasi Lapangan Lomba Kelurahan Tingkat Regional di Kelurahan Jebres","Sekretariat Daerah","Permohonan Dukungan Acara Klarifikasi Lapangan Lomba Kelurahan Tingkat Regional di Kelurahan Jebres",28-Oct-22,"Sudah diarsipkan",PERMOHONAN,"Senin - Rabu, 31 Okt - 2 Nov 2022",,
402,1407,073.Oct/2022,DA/02/SK.01/X/2022,0000-00-00,"Permohonan peminjaman ruang dan barang adanya permintaan kegiatan treasure hunting team building dari medco energi jakarta.","Dandelion Adventure","Permohonan peminjaman ruang dan barang adanya permintaan kegiatan treasure hunting team building dari medco energi jakarta.",28-Oct-22,"Bagian kerjasama & umum fasilitasi (m susilo, m danang)",PERMOHONAN,2022/12/09,"07.30 - 13.00 WIB",
403,1406,072.Oct/2022,6708/IT.64/HM.01.04/2022,0000-00-00,"Pernyataan kesanggupan perihal permohonan pinjam tempat yang telah diajukan ke UPT Solo Technopark terkait penyelenggaraan acara DKV ACT 8 ""Genap"".","ISI Surakarta DKV","Pernyataan kesanggupan perihal permohonan pinjam tempat yang telah diajukan ke UPT Solo Technopark terkait penyelenggaraan acara DKV ACT 8 ""Genap"".",28-Oct-22,"Bagian kerjasama (m susilo)",PERMOHONAN,,,
404,1405,071.Oct/2022,514/005/X/2022,0000-00-00,"Undangan rapat pendampingan III ( Development produk )",Balitbangda,"Undangan rapat pendampingan III ( Development produk )",27-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/27,"09.00 - selesai","di STC"
405,1404,070.Oct/2022,"468/MP-ICMI Muda Pusat/X/2022",0000-00-00,"Permohonan berkunjung ke solo technopark (rakernas ICMI muda).","ICMI Muda Pusat","Permohonan berkunjung ke solo technopark (rakernas ICMI muda).",27-Oct-22,"Sudah dilakukan",KUNJUNGAN,2022/10/29,"14.30 - selesai",
406,1403,069.Oct/2022,515/005/X/2022,0000-00-00,"Undangan rapat pendampingan II ( Sinkronisasi RAB dan finalisasi rencana pendampingan produksi)","Balitbang Daerah","Undangan rapat pendampingan II ( Sinkronisasi RAB dan finalisasi rencana pendampingan produksi)",26-Oct-22,Sudah,UNDANGAN,2022/10/28,"08.39 - selesai","Gedung STC Solo Technopark"
407,1402,068.Oct/2022,496/005/X/2022,0000-00-00,"Undangan rapat pendahuluan kajian dampak sosial dan lingkungan pembangunan islamic center kota Surakarta.","Balitbang Daerah","Undangan rapat pendahuluan kajian dampak sosial dan lingkungan pembangunan islamic center kota Surakarta.",26-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/27,"13.00 - selesai","di ruang rapat balitbangda"
408,1401,067.Oct/2022,/UN27.05/PT.01.01/2022,0000-00-00,"Melakukan perekaman vidio pemenuhan tugas mata kuliah public relation.",UNS,"Melakukan perekaman vidio pemenuhan tugas mata kuliah public relation.",26-Oct-22,"Sudah dilakukan",PERMOHONAN,2022/10/27,"13.00 - selesai",
409,1400,066.Oct/2022,3663/UN21.5/HM.00.01/2022,0000-00-00,"Permohonan izin kunjungan. (48 orang)","Universitas Jambi","Permohonan izin kunjungan. (48 orang)",26-Oct-22,"Sudah dilakukan",KUNJUNGAN,2022/10/27,"14.00 WIB",
410,1399,065.Oct/2022,421.2/591/SMP/2022,0000-00-00,"Permohonan kunjungan sekolah h1 = 236 siswa, h2 = 251 siswa.","SMPN 3 Surakarta","Permohonan kunjungan sekolah h1 = 236 siswa, h2 = 251 siswa.",25-Oct-22,"Diterima bagian kerjasama fokus tarif (m ani, m susilo)",KUNJUNGAN,"Senin dan Selasa, 7-8 November 2022",terlampir,
411,1398,064.Oct/2022,,0000-00-00,"Pengajuan Proposal Kerjasama kegiatan Internasional Millenial Summit","KAMI Foundation","Pengajuan Proposal Kerjasama kegiatan Internasional Millenial Summit",24-Oct-22,"Bagian kerjasama buat kajian (m susilo)",PERMOHONAN,,,
412,1397,063.Oct/2022,01/PHS/X/2022,0000-00-00,"Permohonan Partisipasi HUT Satuan Pengamanan ke - 42 tahun 2022.","Kasat Binmas","Permohonan Partisipasi HUT Satuan Pengamanan ke - 42 tahun 2022.",24-Oct-22,,PERMOHONAN,,,
413,1396,062.Oct/2022,417/RP.05/X/2022,0000-00-00,"DESK LANJUTAN PELAPORAN SIMDALBANGDA BULAN SEPTEMBER TA.2022","Sekretariat Daerah","DESK LANJUTAN PELAPORAN SIMDALBANGDA BULAN SEPTEMBER TA.2022",24-Oct-22,"Bagian keuangan hadiri ( bu susi, m agus)",UNDANGAN,2022/10/25,"13.00 - 15.00 WIB","Ruang rapat manganti praja"
414,1395,061.Oct/2022,494/005/X/2022,0000-00-00,"Undangan penilaian pemetaan daya saing daerah melalui zoom conference.",Balitbangda,"Undangan penilaian pemetaan daya saing daerah melalui zoom conference.",24-Oct-22,"Bagian pelayanan tolong diwakili (m christian)",UNDANGAN,2022/10/25,"08.30 - selesai","ruang rapat Balitbangda"
415,1394,060.Oct/2022,H.063/X/2022/SMK/K.XIX-1,0000-00-00,"Permohonan Kunjungan Industri. (141 orang)","SMK Kartika XIX-1 Bandung","Permohonan Kunjungan Industri. (141 orang)",24-Oct-22,"Bagian pelayanan dan diklat (m christian , m budi)",KUNJUNGAN,2023/02/02,08.00,
